GAME,"DRAW ID","DRAW DATE","MAIN NUMBERS",SUPP
oz_lotto,1200,"Tuesday 14 Feb 2017","7 39 45 38 1 30 9 ","28 14 "
oz_lotto,1199,"Tuesday 07 Feb 2017","20 32 4 8 29 37 40 ","7 17 "
oz_lotto,1198,"Tuesday 31 Jan 2017","24 3 8 38 18 20 30 ","44 21 "
oz_lotto,1197,"Tuesday 24 Jan 2017","17 24 43 31 20 34 27 ","29 6 "
oz_lotto,1196,"Tuesday 17 Jan 2017","39 31 7 37 2 22 21 ","40 1 "
oz_lotto,1195,"Tuesday 10 Jan 2017","34 2 43 18 12 17 41 ","16 22 "
oz_lotto,1194,"Tuesday 03 Jan 2017","1 27 17 12 24 15 23 ","41 29 "
oz_lotto,1193,"Tuesday 27 Dec 2016","27 7 35 34 25 33 28 ","38 41 "
oz_lotto,1192,"Tuesday 20 Dec 2016","26 16 14 36 25 29 45 ","3 7 "
oz_lotto,1191,"Tuesday 13 Dec 2016","44 31 37 17 20 34 39 ","29 24 "
oz_lotto,1190,"Tuesday 06 Dec 2016","35 30 17 43 34 45 15 ","14 23 "
oz_lotto,1189,"Tuesday 29 Nov 2016","31 32 12 35 28 22 42 ","39 1 "
oz_lotto,1188,"Tuesday 22 Nov 2016","32 31 11 30 17 45 43 ","10 7 "
oz_lotto,1187,"Tuesday 15 Nov 2016","7 26 27 11 18 15 16 ","30 21 "
oz_lotto,1186,"Tuesday 08 Nov 2016","42 5 7 36 22 2 13 ","23 18 "
oz_lotto,1185,"Tuesday 01 Nov 2016","17 22 43 6 27 41 9 ","8 36 "
oz_lotto,1184,"Tuesday 25 Oct 2016","20 8 37 33 5 34 36 ","40 17 "
oz_lotto,1183,"Tuesday 18 Oct 2016","43 37 23 6 9 3 13 ","38 32 "
oz_lotto,1182,"Tuesday 11 Oct 2016","25 3 8 38 18 21 27 ","23 35 "
oz_lotto,1181,"Tuesday 04 Oct 2016","10 14 4 3 28 41 12 ","32 5 "
oz_lotto,1180,"Tuesday 27 Sep 2016","45 13 32 36 3 26 21 ","31 14 "
oz_lotto,1179,"Tuesday 20 Sep 2016","39 4 31 33 34 12 27 ","20 36 "
